index,binum,len1,len2,len3,len4,len5
769,1100000001,0,0,1,0,0
778,1100001010,0,0,0,1,0
784,1100010000,8,13,2,0,0
785,1100010001,0,0,1,0,0
794,1100011010,0,2,0,0,0
798,1100011110,0,0,0,0,1
800,1100100000,0,0,4,4,6
801,1100100001,0,0,1,0,2
810,1100101010,1,1,5,0,3
811,1100101011,0,0,1,1,0
814,1100101110,0,0,0,2,0
816,1100110000,5,12,5,2,2
817,1100110001,5,9,3,1,1
826,1100111010,17,12,11,2,2
827,1100111011,5,4,3,0,0
830,1100111110,5,3,1,0,0
831,1100111111,1,0,1,0,0
896,1110000000,0,0,15,11,5
897,1110000001,0,0,1,1,2
906,1110001010,0,0,1,1,0
912,1110010000,175,183,96,23,9
913,1110010001,12,6,7,4,0
922,1110011010,19,29,11,2,1
923,1110011011,0,1,0,0,0
926,1110011110,0,1,2,0,0
928,1110100000,2,1,27,23,13
929,1110100001,1,1,18,11,6
